oshpd_id,FacilityName2,CountyName,system,year,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea,Visits_Per_Station
106121080,Providence St. Joseph Hospital – Eureka,Humboldt,Providence St. Joseph Health,2022,100-149,Investor Owned,Rural,Non-Teaching,Active COVID-19,27953,20,882,40.78320000,-124.14216000,Yes,Yes,44.1
106130760,Pioneers Memorial Healthcare District,Imperial,N/A,2022,100-149,Government,Rural,Non-Teaching,Active COVID-19,42926,16,2435,32.96003000,-115.55183000,Yes,Yes,152.1875
106141273,Northern Inyo Hospital,Inyo,N/A,2022,1-49,Government,Rural,Non-Teaching,Active COVID-19,8301,8,368,37.36207000,-118.40756000,No,No,46
106141338,Southern Inyo Hospital,Inyo,N/A,2022,1-49,Government,Frontier,Non-Teaching,Active COVID-19,1668,2,63,36.60840000,-118.05816000,Yes,No,31.5
106150706,Adventist Health Delano,Kern,N/A,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,28475,10,945,35.76143000,-119.23706000,Yes,Yes,94.5
106150737,Kern Valley Healthcare District,Kern,N/A,2022,100-149,Government,Frontier,Non-Teaching,Active COVID-19,6607,8,280,35.63486000,-118.40509000,Yes,Yes,35
106150761,Mercy Hospital – Bakersfield,Kern,Dignity Health,2022,100-149,Nonprofit,Urban,Non-Teaching,Active COVID-19,62403,45,2746,35.37323000,-119.02715000,No,Yes,61.02222222
106150782,Ridgecrest Regional Hospital,Kern,N/A,2022,50-99,Nonprofit,Rural,Non-Teaching,Active COVID-19,16279,12,738,35.64040000,-117.66996000,Yes,Yes,61.5
106154168,Adventist Health Tehachapi Valley,Kern,Adventist Health Systems,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,21135,13,1130,35.14302000,-118.44924000,Yes,Yes,86.92307692
106164029,Adventist Health Hanford,Kings,Adventist Health Systems,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,92128,44,4787,36.32562470,-119.66839120,Yes,Yes,108.7954545
106171049,Adventist Health Clearlake,Lake,Adventist Health Systems,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,19592,8,771,38.93619000,-122.62020000,Yes,Yes,96.375
106171395,Sutter Lakeside Hospital,Lake,Sutter Health,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,19410,12,868,39.10232000,-122.91003000,Yes,Yes,72.33333333
106184008,Banner Lassen Medical Center,Lassen,N/A,2022,1-49,Nonprofit,Rural,Non-Teaching,Active COVID-19,10145,8,436,40.42306000,-120.64609000,Yes,Yes,54.5
106190017,Alhambra Hospital Medical Center,Los Angeles,N/A,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,16020,8,802,34.08988000,-118.14490000,No,No,100.25
106190034,Antelope Valley Hospital,Los Angeles,N/A,2022,300-499,Government,Urban,Non-Teaching,Active COVID-19,107707,45,4604,34.68780000,-118.15798100,No,Yes,102.3111111
106190053,St. Mary Medical Center – Long Beach,Los Angeles,Dignity Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,37582,26,1223,33.78023760,-118.18664120,No,No,47.03846154
106190110,Southern California Hospital at Culver City,Los Angeles,Alta Hospitals System,2022,300-499,Investor Owned,Urban,Non-Teaching,Active COVID-19,12830,17,436,34.02319530,-118.39694290,No,No,25.64705882
106190125,California Hospital Medical Center – Los Angeles,Los Angeles,Dignity Health,2022,300-499,Nonprofit,Urban,Non-Teaching,Active COVID-19,57917,35,1411,34.03721000,-118.26551000,No,No,40.31428571
106190148,Centinela Hospital Medical Center,Los Angeles,Prime Healthcare Services,2022,300-499,Investor Owned,Urban,Non-Teaching,Active COVID-19,35849,50,712,33.94917000,-118.34788000,Yes,No,14.24
106190170,Children's Hospital of Los Angeles,Los Angeles,N/A,2022,300-499,Nonprofit,Urban,Teaching,Active COVID-19,68844,46,1716,34.09786920,-118.29095470,Yes,No,37.30434783
106190197,Community Hospital of Huntington Park,Los Angeles,Avanti Hospitals,2022,50-99,Investor Owned,Urban,Non-Teaching,Active COVID-19,31164,14,388,33.98929000,-118.22466000,No,Yes,27.71428571
106190198,Los Angeles Community Hospital,Los Angeles,Alta Hospitals System,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,3857,4,71,34.01897000,-118.18750000,Yes,Yes,17.75
106190200,San Gabriel Valley Medical Center,Los Angeles,"AHMC Healthcare, Inc.",2022,200-299,Investor Owned,Urban,Non-Teaching,Active COVID-19,21304,12,800,34.10240000,-118.10503000,No,No,66.66666667
106190240,Lakewood Regional Medical Center,Los Angeles,Tenet Healthcare Corporation,2022,150-199,Investor Owned,Urban,Non-Teaching,Active COVID-19,34069,14,1077,33.85973100,-118.14920120,No,No,76.92857143
106190243,PIH Health Hospital – Downey,Los Angeles,N/A,2022,150-199,Nonprofit,Urban,Non-Teaching,Active COVID-19,48690,26,1557,33.93515000,-118.13196000,No,No,59.88461538
106190256,East Los Angeles Doctors Hospital,Los Angeles,Avanti Hospitals,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,10400,8,251,34.02383000,-118.18377000,Yes,Yes,31.375
106190280,Encino Hospital Medical Center,Los Angeles,Prime Healthcare Services,2022,100-149,Investor Owned,Urban,Non-Teaching,Active COVID-19,6940,9,183,34.15686000,-118.48662000,No,No,20.33333333
106190315,Garfield Medical Center,Los Angeles,"AHMC Healthcare, Inc.",2022,200-299,Investor Owned,Urban,Non-Teaching,Active COVID-19,15968,21,629,34.06826000,-118.12302000,No,No,29.95238095
